target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_aCOminpA_fut_001,100,2,0.001,23386.07890625,0.12678329944610595
LBL_aCOminpA_fut_001,100,3,0.1,1575.5500854492188,0.9389019846916199
LBL_aCOminpA_fut_001,100,3,0.01,5613.52568359375,0.7890363812446595
LBL_aCOminpA_fut_001,100,3,0.001,23260.501953125,0.13150333166122435
LBL_aCOminpA_fut_001,100,5,0.1,1752.2543701171876,0.9309788703918457
LBL_aCOminpA_fut_001,100,5,0.01,5550.39072265625,0.7902581214904785
LBL_aCOminpA_fut_001,100,5,0.001,23223.59375,0.13287818431854248
LBL_aCOminpA_fut_001,500,1,0.1,2264.1318115234376,0.9119390964508056
LBL_aCOminpA_fut_001,500,1,0.01,2409.0696533203127,0.9079653978347778
LBL_aCOminpA_fut_001,500,1,0.001,14666.1365234375,0.4508334994316101
LBL_aCOminpA_fut_001,500,2,0.1,1847.4187744140625,0.9273029327392578
LBL_aCOminpA_fut_001,500,2,0.01,1877.2313720703125,0.9273375630378723
LBL_aCOminpA_fut_001,500,2,0.001,12302.8794921875,0.5397130131721497
LBL_aCOminpA_fut_001,500,3,0.1,1569.6568359375,0.9390464186668396
LBL_aCOminpA_fut_001,500,3,0.01,1631.3252319335938,0.936622703075409
LBL_aCOminpA_fut_001,500,3,0.001,11815.1068359375,0.5578611135482788
LBL_aCOminpA_fut_001,500,5,0.1,1753.2902709960938,0.9309505939483642
LBL_aCOminpA_fut_001,500,5,0.01,1726.4184692382812,0.9320310473442077
LBL_aCOminpA_fut_001,500,5,0.001,11745.7744140625,0.5599793910980224
LBL_aCOminpA_fut_001,1000,1,0.1,2281.07900390625,0.9111446499824524
LBL_aCOminpA_fut_001,1000,1,0.01,2253.231298828125,0.9132764935493469
LBL_aCOminpA_fut_001,1000,1,0.001,9015.2291015625,0.6620814561843872
LBL_aCOminpA_fut_001,1000,2,0.1,1848.607666015625,0.9271924495697021
LBL_aCOminpA_fut_001,1000,2,0.01,1887.3858032226562,0.9264509677886963
LBL_aCOminpA_fut_001,1000,2,0.001,6350.557421875,0.7612510442733764
LBL_aCOminpA_fut_001,1000,3,0.1,1569.6047485351562,0.9390434265136719
LBL_aCOminpA_fut_001,1000,3,0.01,1592.8205444335938,0.9379802823066712
LBL_aCOminpA_fut_001,1000,3,0.001,5647.95517578125,0.7877473831176758
LBL_aCOminpA_fut_001,1000,5,0.1,1753.295947265625,0.9309503674507141
LBL_aCOminpA_fut_001,1000,5,0.01,1738.3026733398438,0.9315021753311157
LBL_aCOminpA_fut_001,1000,5,0.001,5584.86982421875,0.7889577627182007
LBL_aCOminpA_fut_001,3000,1,0.1,2319.3227783203124,0.9095607876777649
LBL_aCOminpA_fut_001,3000,1,0.01,2218.6031005859377,0.9139004111289978
LBL_aCOminpA_fut_001,3000,1,0.001,3199.80205078125,0.8787770867347717
LBL_aCOminpA_fut_001,3000,2,0.1,1849.7461669921875,0.9271399497985839
LBL_aCOminpA_fut_001,3000,2,0.01,1892.08154296875,0.9257544755935669
LBL_aCOminpA_fut_001,3000,2,0.001,2065.380029296875,0.9207302808761597
LBL_aCOminpA_fut_001,3000,3,0.1,1569.6269409179688,0.9390424609184265
LBL_aCOminpA_fut_001,3000,3,0.01,1584.126123046875,0.9382313013076782
LBL_aCOminpA_fut_001,3000,3,0.001,1775.7225341796875,0.9315196514129639
LBL_aCOminpA_fut_001,3000,5,0.1,1753.295947265625,0.9309503674507141
LBL_aCOminpA_fut_001,3000,5,0.01,1737.781689453125,0.9315376162528992
LBL_aCOminpA_fut_001,3000,5,0.001,1812.9391723632812,0.9289612889289856
LBL_aFLminpA_fut_001,10,1,0.1,5900.55263671875,0.574529480934143
LBL_aFLminpA_fut_001,10,1,0.01,12865.94453125,0.09720666408538818
LBL_aFLminpA_fut_001,10,1,0.001,14280.5099609375,-0.0017879724502563477
LBL_aFLminpA_fut_001,10,2,0.1,4815.977392578125,0.653689157962799
LBL_aFLminpA_fut_001,10,2,0.01,12607.030078125,0.11619390249252319
LBL_aFLminpA_fut_001,10,2,0.001,14250.56171875,0.0003731369972229004
LBL_aFLminpA_fut_001,10,3,0.1,4532.157763671875,0.6781700134277344
